プレイヤー名,平均順位,和了率,放銃率,和了率-放銃率,副露率,副露成功率,リーチ率,ダマ和了率,平均打点,平均放銃点,流局聴牌率,総ゲーム数,総局数,和了回数,放銃回数
傍若無人51,1.700,29.65,8.72,20.93,32.56,41.07,20.93,54.90,6229,4227,66.67,20,172,51,15
ざざむしFT,1.727,26.96,10.43,16.52,35.22,37.04,11.74,70.97,5597,4783,51.35,22,230,62,24
魚谷侑美,1.905,28.57,11.06,17.51,33.64,36.99,18.43,61.29,6221,5308,50.00,21,217,62,24
たけぴー@UNP,1.909,28.99,11.34,17.65,39.92,36.84,19.33,59.42,5877,4344,47.50,22,238,69,27
いぶりがっこ95,1.971,22.79,6.70,16.09,29.49,32.73,16.09,52.94,7002,5636,31.67,35,373,85,25
遅刻のプリンス♪,2.000,26.06,11.97,14.08,38.38,37.61,19.72,62.16,5318,3982,44.44,29,284,74,34
ACs,2.000,24.65,10.23,14.42,36.74,30.38,20.47,56.60,5770,4345,42.86,21,215,53,22
ハチュナ,2.040,27.38,10.32,17.06,33.73,37.65,21.03,55.07,7281,5962,36.59,25,252,69,26
シルバーブレット,2.048,27.12,8.47,18.64,33.47,45.57,26.27,56.25,5114,4940,53.06,21,236,64,20
ぷりん聖人,2.050,28.95,13.16,15.79,33.33,28.95,16.67,54.55,4967,4760,61.54,20,114,33,15
ケルヴィン,2.050,20.83,12.50,8.33,31.94,27.54,21.76,46.67,6893,3841,45.95,20,216,45,27
グンダリー,2.080,25.27,7.33,17.95,33.33,24.18,16.85,57.97,6061,5010,30.19,25,273,69,20
take-you,2.081,24.09,7.45,16.64,31.70,33.50,18.38,52.63,5666,4974,37.11,62,631,152,47
ハマー,2.087,21.72,6.97,14.75,39.34,29.17,16.39,62.26,5698,3941,61.54,23,244,53,17
片平剛,2.094,22.73,8.77,13.96,23.70,35.62,21.75,52.86,6410,4500,52.63,32,308,70,27
可児那由多,2.098,24.48,10.69,13.79,37.59,26.61,18.97,57.75,6401,3326,43.48,51,290,71,31
kurono59,2.114,26.61,13.70,12.92,27.39,36.79,23.77,54.37,6061,4949,55.93,35,387,103,53
倉橋＠事務,2.115,21.74,15.53,6.21,39.75,31.25,14.91,65.71,6257,3504,47.62,26,161,35,25
ひたぎ,2.118,24.60,9.36,15.24,34.49,37.21,21.93,58.70,5171,4334,39.62,34,374,92,35
優@ABC,2.120,30.77,10.00,20.77,46.15,38.33,13.08,70.00,5510,4546,53.85,25,130,40,13
とびまこ,2.122,24.87,10.82,14.05,35.05,33.82,18.30,62.18,5818,4964,50.82,74,776,193,84
ゆーや.t,2.122,23.89,12.07,11.82,31.03,32.54,21.43,52.58,6218,4390,43.64,41,406,97,49
ev16384,2.125,25.86,10.92,14.94,28.74,33.00,18.97,53.33,6748,6526,32.31,32,348,90,38
nick2,2.130,23.71,9.05,14.66,42.67,34.34,15.95,70.91,6296,5138,54.84,23,232,55,21
かくろむ,2.136,23.67,15.51,8.16,41.22,25.74,17.14,56.90,6252,5253,50.00,22,245,58,38
ふじみやひろや,2.150,22.77,8.91,13.86,27.72,23.21,18.32,43.48,6478,5056,51.61,20,202,46,18
yyx0115,2.152,23.11,12.82,10.29,32.77,31.41,21.85,50.91,6088,4685,50.59,46,476,110,61
エネル,2.156,23.57,10.62,12.95,35.24,31.33,16.77,63.06,5425,4790,48.05,45,471,111,50
m@kg,2.162,23.13,12.29,10.84,34.94,32.41,15.90,64.58,5549,4822,42.25,37,415,96,51
凍魚凍魚,2.167,24.14,9.02,15.12,34.75,33.59,18.57,57.14,5931,3924,45.71,36,377,91,34
ボス猫,2.167,24.48,9.96,14.52,33.61,35.80,17.43,62.71,6510,5325,30.77,24,241,59,24
ミッキー0710,2.167,21.65,12.60,9.06,32.28,26.83,20.47,47.27,6325,5516,31.58,24,254,55,32
国王,2.171,23.73,11.47,12.27,37.87,26.76,17.33,53.93,6439,5174,32.88,35,375,89,43
jyunoh,2.172,23.31,9.46,13.85,27.36,38.27,17.91,57.97,5609,4332,29.79,29,296,69,28
luna2345,2.182,22.54,7.51,15.03,37.86,25.19,15.90,56.41,6008,5765,27.66,33,346,78,26
えすたまる,2.182,22.01,10.42,11.58,33.20,25.58,23.94,47.37,5975,4719,55.26,22,259,57,27
プレスプ,2.189,22.56,12.56,10.00,32.95,30.74,18.97,57.95,6205,4590,43.59,74,780,176,98
ふくぶちょう,2.190,20.09,12.82,7.26,34.19,16.25,21.79,42.55,7274,4950,44.74,21,234,47,30
船越英一郎,2.194,24.85,9.39,15.45,30.91,36.27,20.61,54.88,5160,4803,40.82,31,330,82,31
Xul,2.194,21.45,14.21,7.24,28.13,24.75,21.73,53.25,6612,4808,50.00,31,359,77,51
Kitamura,2.196,22.70,8.51,14.18,32.80,34.05,18.79,58.59,5274,4171,38.00,56,564,128,48
たなか教祖,2.196,24.65,12.50,12.15,35.21,31.00,17.08,57.86,5791,4845,45.88,56,568,140,71
ミスターぴーナツ,2.200,24.42,10.78,13.64,30.97,37.20,19.77,60.17,6096,5416,37.67,90,946,231,102
御影ゆずき,2.200,23.52,9.82,13.70,32.11,28.03,18.40,54.78,6058,5150,41.67,45,489,115,48
(￣▽￣)δ⌒・,2.200,24.61,14.14,10.47,32.46,30.65,18.85,61.70,6683,4200,47.62,35,191,47,27
denosuke,2.200,30.65,15.33,15.33,38.31,37.00,16.48,70.00,5482,5470,55.88,25,261,80,40
うさぎファンシー,2.205,23.61,10.60,13.01,34.46,30.77,17.59,59.18,5666,4132,43.55,39,415,98,44
はまちリーグ,2.206,20.66,7.44,13.22,37.19,26.67,17.36,61.33,6123,5248,41.67,34,363,75,27
幸運の獅子,2.207,21.05,9.21,11.84,34.21,23.08,16.12,53.12,6334,4643,43.18,29,304,64,28
罪刑法定主義,2.211,23.69,14.98,8.71,34.15,29.59,23.34,54.41,5693,4595,38.24,38,287,68,43
akibaban,2.212,24.66,11.23,13.42,32.88,32.50,17.26,62.22,6100,4437,41.51,33,365,90,41
冷凍ギョーザ,2.213,24.29,13.95,10.34,28.68,44.14,24.03,60.64,6520,4774,41.54,47,387,94,54
我可以,2.213,23.05,11.02,12.02,29.86,32.21,17.03,56.52,6283,5469,31.76,47,499,115,55
直哉,2.217,23.40,8.09,15.32,30.64,33.33,18.30,60.00,5498,4084,27.78,23,235,55,19
ダニバチョフ,2.224,23.52,10.28,13.24,35.97,34.62,19.96,58.82,5113,4662,44.05,49,506,119,52
たまもやん,2.227,21.12,9.16,11.95,23.51,33.90,22.31,45.28,7155,5443,38.46,22,251,53,23
yurimog,2.227,22.94,16.51,6.42,37.61,30.49,15.14,66.00,5660,4828,52.00,22,218,50,36
zoo1964,2.229,21.51,11.24,10.27,36.05,24.73,20.35,49.55,6993,5353,40.82,48,516,111,58
ＮＡＯ339,2.231,18.85,8.85,10.00,32.31,33.33,13.85,71.43,6455,4009,34.09,26,260,49,23
秘打白鳥の湖,2.235,23.09,12.48,10.61,30.91,33.73,18.62,58.87,5734,4588,42.35,51,537,124,67
紙吹雪,2.235,24.63,8.90,15.73,34.42,25.86,17.21,60.24,6189,5567,47.54,34,337,83,30
ヤナリンスキー,2.237,25.78,13.49,12.29,37.11,29.22,19.76,51.40,6565,4709,30.19,38,415,107,56
Benching,2.238,23.94,14.32,9.62,40.49,27.62,18.57,62.62,6650,5155,57.89,42,447,107,64
らいふがーどすき,2.239,23.52,9.67,13.85,35.60,36.42,16.04,67.29,6147,5034,44.00,46,455,107,44
RealX,2.240,23.27,16.33,6.94,37.14,27.47,20.00,50.88,6163,4902,51.43,25,245,57,40
メカゼットン,2.241,25.48,10.00,15.48,33.87,36.19,17.74,62.03,5643,5703,32.00,29,310,79,31
運太,2.241,25.77,13.80,11.96,31.90,40.38,18.71,60.71,5480,5376,43.10,29,326,84,45
ナゴム,2.243,22.22,13.89,8.33,29.29,29.31,23.23,51.14,6278,4256,47.69,37,396,88,55
bipsd,2.243,18.73,10.29,8.44,32.45,21.95,20.32,46.48,6644,4444,33.33,37,379,71,39
二千惠理人,2.250,23.44,11.00,12.44,36.36,27.63,13.40,67.35,6757,4096,35.48,20,209,49,23
とろろそば,2.254,21.71,11.62,10.09,28.35,28.83,20.95,51.76,6232,4847,48.91,71,783,170,91
UMA確認済,2.259,22.84,13.15,9.69,38.75,29.46,17.99,60.61,6164,4513,28.57,27,289,66,38
ランナーランナー,2.259,23.32,13.07,10.25,40.64,33.04,16.61,59.09,6552,5165,39.47,27,283,66,37
恥晒し,2.259,25.79,13.84,11.95,43.40,31.88,18.24,65.85,5102,3786,42.31,27,159,41,22
hihihiji,2.260,22.48,11.63,10.85,35.66,31.52,17.83,58.62,5775,5108,50.00,50,516,116,60
ろろ14,2.263,22.40,12.01,10.39,32.79,28.87,18.94,54.64,5986,5081,29.85,38,433,97,52
辛口カレーライス,2.265,19.66,12.86,6.80,33.50,23.91,18.69,48.15,6278,4413,35.00,49,412,81,53
復旦犬求好調専用,2.269,22.22,9.52,12.70,32.14,33.33,19.05,64.29,6282,4250,43.75,26,252,56,24
柳梦璃,2.269,19.65,16.49,3.16,30.18,22.09,21.75,39.29,6148,4700,36.17,26,285,56,47
se-ta,2.275,21.65,11.76,9.88,32.47,30.43,19.29,59.78,6614,5584,38.36,40,425,92,50
かぶ茶,2.280,23.44,10.42,13.02,38.73,30.41,19.37,61.35,5313,4912,40.56,82,883,207,92
シン太朗,2.281,21.97,13.00,8.97,25.56,31.58,23.32,46.94,6539,4838,50.00,32,223,49,29
てんくう,2.283,23.21,12.68,10.54,30.00,32.14,22.68,50.77,6232,4673,42.22,53,560,130,71
かしかお,2.286,22.22,9.43,12.79,34.34,32.35,20.88,63.64,6048,4371,54.35,28,297,66,28
占い師裏ないし,2.288,23.80,15.58,8.22,39.94,31.91,15.58,67.86,5280,4545,46.81,59,353,84,55
ふみKUN,2.288,21.59,12.73,8.86,33.21,28.89,17.16,61.54,6264,5065,43.21,52,542,117,69
akaiki,2.292,24.51,10.75,13.76,34.60,35.61,22.28,58.82,5209,4438,45.04,72,763,187,82
河嶋KK,2.300,22.08,9.43,12.64,32.26,28.07,16.42,59.83,6030,5650,47.19,50,530,117,50
どわんご,2.300,21.05,12.72,8.33,40.35,21.74,12.72,58.33,5371,5762,25.71,40,228,48,29
みかあ,2.300,20.94,8.55,12.39,32.74,31.53,17.11,63.38,6714,4776,43.75,30,339,71,29
氷川里奈,2.300,26.50,13.68,12.82,37.61,40.91,17.95,64.52,5900,5869,42.86,20,117,31,16
計算機自然,2.303,21.93,15.51,6.42,36.90,37.68,11.76,68.29,5256,3372,38.46,33,187,41,29
Real小白,2.306,22.49,10.29,12.20,37.56,32.48,14.11,65.96,5198,4658,41.98,36,418,94,43
鳳南のぶたさん,2.307,22.89,10.39,12.50,36.71,30.47,18.82,58.62,6232,5868,49.04,75,760,174,79
CLS,2.308,21.12,9.56,11.55,21.91,30.91,17.93,49.06,6368,6375,35.00,26,251,53,24
なっきり,2.308,22.53,10.32,12.21,34.22,32.66,18.74,60.31,5421,5504,47.64,107,1163,262,120
帆立夏衣,2.312,26.64,11.06,15.58,41.31,36.07,13.09,72.03,5068,4657,42.47,80,443,118,49
ラーメン五郎,2.314,25.00,10.45,14.55,38.18,32.14,17.27,58.18,4465,5087,48.57,35,220,55,23
うまうま0305,2.314,25.00,12.37,12.63,29.21,33.33,19.21,50.53,5736,5232,31.37,35,380,95,47
どんたゃん,2.315,24.41,12.14,12.27,40.93,29.05,19.65,56.41,5752,4574,39.47,73,799,195,97
椛南,2.316,21.18,10.10,11.08,24.38,34.34,20.69,51.16,5816,4999,35.90,76,812,172,82
